,cap,dim,rad,mean_cap,center_corr,K,EVD90,PR,P,M,N,layer,seed,model,manifold_type,eps,eps_step,max_iter,clean_accuracy,adv_accuracy,random
1,0.05415966621454676,29.152778199029832,1.3337714552178537,0.05756455174068077,0.4327867286929854,1,147,29.474579784079676,10,50,2000,1.conv1,3,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
2,0.05164953522160333,29.826599710764484,1.3817333760995107,0.05756455174068077,0.4327867286929854,1,147,29.474579784079676,10,50,2000,1.conv1,3,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
3,0.06601820622370522,25.38050432496044,1.3169803511225244,0.05756455174068077,0.4327867286929854,1,147,29.474579784079676,10,50,2000,1.conv1,3,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
4,0.05512114689556125,27.504541567231428,1.3105603517525704,0.05756455174068077,0.4327867286929854,1,147,29.474579784079676,10,50,2000,1.conv1,3,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
5,0.061533402426517336,26.37049460791757,1.2170019993464978,0.05756455174068077,0.4327867286929854,1,147,29.474579784079676,10,50,2000,1.conv1,3,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
6,0.054534413563180936,29.044518185197532,1.4338071108694799,0.05756455174068077,0.4327867286929854,1,147,29.474579784079676,10,50,2000,1.conv1,3,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
7,0.057979767713877944,28.03700785080873,1.2121953440970432,0.05756455174068077,0.4327867286929854,1,147,29.474579784079676,10,50,2000,1.conv1,3,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
8,0.056976851936837984,26.44679674659934,1.2632615670539917,0.05756455174068077,0.4327867286929854,1,147,29.474579784079676,10,50,2000,1.conv1,3,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
9,0.05445184369033332,29.232380132910535,1.2544489206084164,0.05756455174068077,0.4327867286929854,1,147,29.474579784079676,10,50,2000,1.conv1,3,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
0,0.04809640400568265,30.903557334578174,1.2649787844911715,0.04695371890023376,0.26376302363134785,1,312,188.3329201640788,10,50,2000,2.block1,3,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
1,0.05134728988362215,31.44449971306324,1.2937949225743914,0.04695371890023376,0.26376302363134785,1,312,188.3329201640788,10,50,2000,2.block1,3,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
2,0.05019413167960857,31.561442213466677,1.3171617259424862,0.04695371890023376,0.26376302363134785,1,312,188.3329201640788,10,50,2000,2.block1,3,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
3,0.04836747993989761,32.728788990188264,1.4228260920532096,0.04695371890023376,0.26376302363134785,1,312,188.3329201640788,10,50,2000,2.block1,3,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
4,0.043727181428545606,33.74951383259962,1.3785249362469942,0.04695371890023376,0.26376302363134785,1,312,188.3329201640788,10,50,2000,2.block1,3,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
5,0.04320156209876598,34.041952636642065,1.4001570086312074,0.04695371890023376,0.26376302363134785,1,312,188.3329201640788,10,50,2000,2.block1,3,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
6,0.05386262653735699,30.761389360626413,1.329657256857731,0.04695371890023376,0.26376302363134785,1,312,188.3329201640788,10,50,2000,2.block1,3,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
7,0.04710108029092923,32.84884982148735,1.3063631942242078,0.04695371890023376,0.26376302363134785,1,312,188.3329201640788,10,50,2000,2.block1,3,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
8,0.03548767442021806,37.252270811655976,1.5837733306752066,0.04695371890023376,0.26376302363134785,1,312,188.3329201640788,10,50,2000,2.block1,3,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
9,0.05518972278632251,29.960834753506127,1.1933116186637824,0.04695371890023376,0.26376302363134785,1,312,188.3329201640788,10,50,2000,2.block1,3,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
0,0.05567093039827756,30.10237985311115,1.2884644864728474,0.04703595942880155,0.20983181130633632,1,319,230.69968394340998,10,50,2000,3.block2,3,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
1,0.054586276268805585,30.318356229180548,1.267051905234203,0.04703595942880155,0.20983181130633632,1,319,230.69968394340998,10,50,2000,3.block2,3,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
2,0.047034633612160426,31.72812242445369,1.316463157373373,0.04703595942880155,0.20983181130633632,1,319,230.69968394340998,10,50,2000,3.block2,3,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
3,0.04117081420601054,34.72073657039386,1.3935062823188973,0.04703595942880155,0.20983181130633632,1,319,230.69968394340998,10,50,2000,3.block2,3,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
4,0.045589185852986096,32.77495150299356,1.3190837578455328,0.04703595942880155,0.20983181130633632,1,319,230.69968394340998,10,50,2000,3.block2,3,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
5,0.04293415953954973,34.15666513153077,1.4171719919924994,0.04703595942880155,0.20983181130633632,1,319,230.69968394340998,10,50,2000,3.block2,3,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
6,0.04814523187661294,31.609064979480493,1.2895406870325847,0.04703595942880155,0.20983181130633632,1,319,230.69968394340998,10,50,2000,3.block2,3,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
7,0.0460333159424263,32.47977680734932,1.2740729377110875,0.04703595942880155,0.20983181130633632,1,319,230.69968394340998,10,50,2000,3.block2,3,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
8,0.04119070856217533,34.54746040971084,1.4165817142228827,0.04703595942880155,0.20983181130633632,1,319,230.69968394340998,10,50,2000,3.block2,3,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
9,0.053267174447596426,30.169180748680585,1.2416423973567843,0.04703595942880155,0.20983181130633632,1,319,230.69968394340998,10,50,2000,3.block2,3,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
0,0.06256641496718966,27.077800581137367,1.129622842839896,0.05431405416160576,0.17768683090612777,1,314,205.71026757304523,10,50,2000,4.block3,3,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
1,0.05661579524323303,29.420334117095305,1.230631730415502,0.05431405416160576,0.17768683090612777,1,314,205.71026757304523,10,50,2000,4.block3,3,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
2,0.055644207391955754,29.556431411247036,1.2465750102499047,0.05431405416160576,0.17768683090612777,1,314,205.71026757304523,10,50,2000,4.block3,3,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
3,0.04559252338862266,33.570682119191424,1.3594795927257959,0.05431405416160576,0.17768683090612777,1,314,205.71026757304523,10,50,2000,4.block3,3,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
4,0.04806327845173239,31.09098421030233,1.2729751139882906,0.05431405416160576,0.17768683090612777,1,314,205.71026757304523,10,50,2000,4.block3,3,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
5,0.04985495616485502,31.013789588684055,1.2811874297415877,0.05431405416160576,0.17768683090612777,1,314,205.71026757304523,10,50,2000,4.block3,3,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
6,0.058287364654095924,28.86318413230913,1.2108574494043611,0.05431405416160576,0.17768683090612777,1,314,205.71026757304523,10,50,2000,4.block3,3,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
7,0.06371953191322838,26.138167167587973,1.1184369226675615,0.05431405416160576,0.17768683090612777,1,314,205.71026757304523,10,50,2000,4.block3,3,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
8,0.06167147458018137,27.012044538797923,1.1431116236426109,0.05431405416160576,0.17768683090612777,1,314,205.71026757304523,10,50,2000,4.block3,3,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
9,0.04846243341381601,31.51345808577374,1.2907328129164035,0.05431405416160576,0.17768683090612777,1,314,205.71026757304523,10,50,2000,4.block3,3,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
0,0.3468573721093617,5.702069981504743,0.7959128683678446,0.26988127392273115,0.21221541703743196,1,14,10.515008943832285,10,50,2000,5.block4,3,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
1,0.26862878190965117,7.552176889037933,0.9929433447162624,0.26988127392273115,0.21221541703743196,1,14,10.515008943832285,10,50,2000,5.block4,3,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
2,0.2291254291301658,8.19395476287103,0.9786559952840975,0.26988127392273115,0.21221541703743196,1,14,10.515008943832285,10,50,2000,5.block4,3,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
3,0.2247472105447291,8.655545365071909,0.8138805759861474,0.26988127392273115,0.21221541703743196,1,14,10.515008943832285,10,50,2000,5.block4,3,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
4,0.24486718664099116,8.032146974608759,0.937271120051514,0.26988127392273115,0.21221541703743196,1,14,10.515008943832285,10,50,2000,5.block4,3,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
5,0.290169073591275,7.1264824469934,0.947762957791354,0.26988127392273115,0.21221541703743196,1,14,10.515008943832285,10,50,2000,5.block4,3,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
6,0.24320497652510237,7.536255394741115,1.0048437751995032,0.26988127392273115,0.21221541703743196,1,14,10.515008943832285,10,50,2000,5.block4,3,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
7,0.2951169603070285,6.830619691261792,0.8593595804759968,0.26988127392273115,0.21221541703743196,1,14,10.515008943832285,10,50,2000,5.block4,3,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
8,0.36129886552213497,5.968604637145516,0.7164618815026014,0.26988127392273115,0.21221541703743196,1,14,10.515008943832285,10,50,2000,5.block4,3,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
9,0.2607101924043088,7.813273302440371,1.0014960319036184,0.26988127392273115,0.21221541703743196,1,14,10.515008943832285,10,50,2000,5.block4,3,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
0,0.4913252487809159,3.847895920219708,0.7995049515634715,0.37375642608803994,0.25145721435546875,1,7,7.430479526519775,10,50,10,6.linear,3,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
1,0.4020404824563629,4.302285165032172,1.0870820016618288,0.37375642608803994,0.25145721435546875,1,7,7.430479526519775,10,50,10,6.linear,3,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
2,0.2742636493953953,4.729841083750003,1.014407996014147,0.37375642608803994,0.25145721435546875,1,7,7.430479526519775,10,50,10,6.linear,3,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
3,0.38142288480981573,4.884710080119375,0.8937339040655031,0.37375642608803994,0.25145721435546875,1,7,7.430479526519775,10,50,10,6.linear,3,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
4,0.31675485866248354,4.533724326579079,1.1055883039877596,0.37375642608803994,0.25145721435546875,1,7,7.430479526519775,10,50,10,6.linear,3,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
